patent_number,patent_title,patent_abstract,patent_date,patent_type
10524719,System and method for identification of neuro-cardiological disturbances,"A system for identification of one or more neuro-cardiological disturbances of a subject in a post-acute stroke treatment and in the intensive care setting is provided. The system includes a wearable device configured for capturing data associated with a neural and heart activity. The wearable device includes a first electrode and a second electrode configured for measuring an electrical activity of a heart to generate a first signal. The wearable device also includes an accelerometer configured for detecting and acquiring neural accelerometry data to generate a second signal. Moreover, the system includes a processor with a memory. The memory stores a plurality of modules to be executed by the processor and wherein the plurality of modules are configured to receive the first and the second signal from the wearable device, combine the first signal and the second signal to generate an output signal, display the output signal, wherein the output signal is a graphical representation of a time-series data depicting one or more frequencies of the neural and heart activity and identify one or more neuro-cardiological disturbances based on the displayed output signal.",2020-01-07,utility
10524737,Condition detection in a virtual reality system or an augmented reality system,"Techniques that facilitate condition detection in a virtual reality system and/or an augmented reality system are provided. In one example, a system includes a virtual reality component and an anomaly detection component. The virtual reality component collects motion data and biometric data from a virtual reality device. The motion data is indicative of motion information associated with one or more accelerometer sensors of the virtual reality device. The biometric data is indicative of biometric information associated with one or more biometric sensors of the virtual reality device. The anomaly detection component integrates the motion data and the biometric data into a machine learning model to generate anomaly detection data for the virtual reality device.",2020-01-07,utility
10524760,X-ray tube bearing failure prediction using digital twin analytics,"Methods and apparatus for predicting x-ray tube liquid bearing failure are disclosed. An example circuit board device includes a sensor to detect, in a free run mode of an x-ray tube, vibration in an x-ray tube housing. The example device includes a digital signal processor to process vibration information representing vibration detected to generate x-ray tube characterization information. The example device includes a communication interface to relay the x-ray tube characterization information to a cloud infrastructure to process the characterization information to generate a failure prediction based on x-ray tube bearing coast down characteristics extracted from the characterization information. Other example instructions cause a machine to receive x-ray tube characterization information related to bearing vibration in the x-ray tube. The instructions, when executed, cause the machine to process the information based on coast down characteristics extracted from the information to identify a rate of failure and/or a time to failure, etc.",2020-01-07,utility
10524761,Enhanced stethoscope devices and methods,"An enhanced stethoscope device and method for operating the enhanced stethoscope are provided. The enhanced stethoscope device generally operates by providing stethoscope sensors, ultrasonic sensors, and other sensors to obtain a series of measurements about a subject. The series of measurements may be correlated, such as by machine learning, to extract clinically relevant information. Also described are systems and methods for ultrasonic beamsteering by interference of an audio signal with an ultrasonic signal.",2020-01-07,utility
10524866,Systems and methods for registration of location sensors,"Provided are systems and methods for registration of location sensors. In one aspect, a system includes an instrument and a processor configured to provide a first set of commands to drive the instrument along a first branch of the luminal network, the first branch being outside a path to a target within a model. The processor is also configured to track a set of one or more registration parameters during the driving of the instrument along the first branch and determine that the set of registration parameters satisfy a registration criterion. The processor is further configured to determine a registration between a location sensor coordinate system and a model coordinate system based on location data received from a set of location sensors during the driving of the instrument along the first branch and a second branch.",2020-01-07,utility
10524918,Hip joint device,"A medical device for implantation in a hip joint of a patient; the hip joint having a caput femur integrated with a collum femur having a collum and caput center axis, extending longitudinal along the collum and caput femur, in the center thereof. The medical device comprises an elongated portion adapted to at least partially replace the collum femur, wherein said elongated portion is adapted to be at least one of integrated in and connected to a prosthetic spherical portion adapted to replace the caput femur, and wherein said prosthetic spherical portion in turn is adapted to be movably placed in a prosthetic replacement for the acetabulum having at least one extending portion for clasping said prosthetic spherical portion. Said elongated portion comprises a restricting portion adapted to restrict the motion range of the spherical portion in relation to said prosthetic replacement for the acetabulum. Said restricting portion of said elongated portion comprises at least one recess adapted to receive a portion of said prosthetic artificial acetabulum, when implanted, to enable an advantageous motion range in relation to said prosthetic replacement for the acetabulum.",2020-01-07,utility
10524921,Universal joint implant for shoulder,"Universal joint implant includes an artificial glenohumeral component having articulating surfaces. The artificial glenohumeral component can include a first portion for articulation against an artificial glenoid surface or natural glenoid of the patient, and second portion(s) for articulation against an artificial humeral surface or resected, natural humerus; and a universal joint connection. The connection includes a yoke to provide for a center of movement generally within or adjacent a volume defined by an upper head of a normal humerus, which otherwise would be resected; and a substantially spheroidal body, at least in part, dissected, yet connected to provide the yoke; a body pivotable with respect to the yoke for providing motion in a first direction; a rotatable glenoid fixing member, rotatably fixable about the artificial glenoid surface or natural or resected glenoid; and a rotatable humeral fixing member, rotatably fixable about the artificial humeral surface or resected humerus.",2020-01-07,utility
10524950,Modular semi-active joint exoskeleton,"Systems, methods, and apparatus provide an artificial knee. Such artificial knees may include a thigh link configured to move in unison with a thigh of the person, a shank link configured to be rotatably coupled to the thigh link, and a compression spring rotatably coupled to the thigh link at a first end and coupled to the shank link at a second end. The compression spring is configured to provide an extension torque between the thigh link and the shank link during a first range of motion of the thigh link and the shank link relative to each other. The compression spring is configured to provide a flexion torque between the thigh link and the shank link during a second range of motion of the thigh link and the shank link relative to each other.",2020-01-07,utility
10525071,Compositions containing PUFA and methods of use thereof,"This invention provides methods of increasing or enhancing the synthesis and levels of phospholipids, synapses, synaptic proteins, and synaptic membranes by a neural cell or brain cell; methods of treating a subject with a memory disorder, memory impairment, neurological disorder, or brain disease or disorder, comprising administering to the subject a composition comprising an omega-3 fatty acid, an omega-6 fatty acid, uridine, a metabolic precursor thereof, or a combination thereof.",2020-01-07,utility
10525188,Method of purging gas bubbles in an extracorporeal blood circuit,"The invention relates to a method of purging gas bubbles from at least one target zone of an extracorporeal blood circuit, preferably of an extracorporeal blood circuit of a dialysis machine, with a flushing liquid, wherein the flow rate and/or the pressure of the flushing liquid in the extracorporeal blood circuit is/are inconstant at least at times during the flushing process; and/or wherein the flow rate of the flushing liquid in the extracorporeal blood circuit lies above a range of possible flow rates at least at times during the flushing process, which range is used during the treatment for the blood. The invention furthermore relates to an extracorporeal blood treatment unit having an extracorporeal blood circuit, a pump and a control unit, with the control unit being configured to carry out a flushing process in accordance with the invention. The invention furthermore relates to an extracorporeal blood treatment unit having an extracorporeal blood circuit, a pump and a control unit, with the control unit being configured such that the conveying speed for blood is slowly increased after a standstill of the pump or after an operation of the pump at throttled speed.",2020-01-07,utility
10525190,"Medical device leak sensing devices, methods and systems","Features for protecting against leaks in a fluid circuit are disclosed. In an embodiment, a first indicator of a leak is used to trigger confirmation by blood flow reversal and air detection in the blood circuit. A method for performing a blood treatment includes, at blood treatment machine, pumping blood to a patient through a first blood line. Further, at a controller of the blood treatment machine, a first signal is received, indicating a probability of a leak in the first blood line. Responsively to the first signal, the controller commands a leak verification operation and receives a second signal indicating whether a leak in the first blood line is verified. Further, a leak indicating signal is generated if the second signal indicates a leak is verified.",2020-01-07,utility
10525245,Tattoo machine camera assembly,A tattoo machine camera assembly comprises a camera assembly coupled to a tattoo machine. The tattoo machine camera assembly further comprises a camera mount for coupling the camera assembly to the tattoo machine. The camera mount may be formed separately from the tattoo machine or formed integrally with the tattoo machine. The tattoo machine camera assembly may be formed so that the camera is resistant to vibration created by the operation of the tattoo machine. A method of video recording the tattooing process may also be implemented.,2020-01-07,utility
10525259,Atraumatic vestibular stimulation and measuring electrode,"A vestibular electrode is described that is for implantation into a vestibular semi-circular canal. An intra-labyrinthine electrode carrier with a C-shaped cross-section has an inner concave surface and an outer convex surface, and is configured to fit through an electrode opening in an outer surface of the bony labyrinth into the perilymph fluid without breaking the membranous labyrinth so as to fit the inner concave surface of the electrode carrier adjacent to the membranous labyrinth and the outer convex surface adjacent to the bony labyrinth. There are one or more electrode contacts on a surface of the electrode carrier that are configured for electrical interaction with adjacent neural tissue.",2020-01-07,utility
10525266,Perception calibration of neural tissue using field troll,"An example of a system may include an electrode arrangement, a neural modulation generator configured to use electrodes in the electrode arrangement to generate a modulation field, a communication module configured to receive commands, a memory configured to store modulation field parameter data, and a controller configured to control the neural modulation generator to generate the modulation field. The controller may be configured to implement a trolling routine to troll the modulation field through neural tissue positions, and implement a marking routine multiple times as the modulation field is trolled through the neural tissue positions to identify when the modulation field provides patient-perceived modulation. The marking procedure implemented by the controller may receive a marking command that indicates that a modulation intensity achieved the patient-perceived modulation, and store in the memory the modulation field parameter data that affects the modulation intensity in response to receiving the marking command.",2020-01-07,utility
10525267,Closed loop deep brain stimulation systems and methods,"The present disclosure relates generally to systems, methods, and devices for closed loop deep brain stimulation. In particular, a neural signal is measured and provided to software. The software includes a feature generator and a brain network model that takes the neural signal and estimates other neural signals that are not directly measured, and operates as a model of the brain. The software determines a stimulation signal to be sent to stimulating electrodes. Estimated signals by the brain network model are continuously compared to actual signals from the brain. The closed loop feedback system advantageously allows for electrical stimulation levels and patterns to be continuously updated while delivered to a patient.",2020-01-07,utility
10525285,Ionizing-radiation beam monitoring system,"A transmissive ionizing-radiation beam monitoring system includes an enclosure structure including an entrance window and an exit window to an incident ionizing-radiation beam, where the entrance window and the exit window are highly transmissive. The system further includes a thin scintillator within the enclosure structure that is directly in an incident ionizing-radiation beam path and transmissive to the incident radiation beam and an ultraviolet (“UV”) illumination source within the enclosure structure facing the scintillator for internal system calibration. Embodiments further include a UV photosensor within the enclosure structure positioned to monitor and calibrate the UV illumination source and a machine vision camera within the enclosure structure that includes a lens which views the scintillator through a close proximity mirror including a folded optical axis system located to a side of the scintillator.",2020-01-07,utility
10525444,Method and apparatus for manufacturing water absorption treatment material,"A manufacturing apparatus is an apparatus for manufacturing a water absorption treatment material that is composed of a plurality of grains that bond to each other upon absorbing a liquid, and includes a granulation machine and a pressure application machine. The granulation machine forms a substantially cylindrical granule that constitutes each of the grains by granulating a granulation material. The pressure application machine applies pressure to the granule formed by the granulation machine from a longitudinal direction of the granule so as to reduce the length of the granule.",2020-01-07,utility
10525477,Hammer for material reducing machines,"A multi-piece hammer for use in a reducing machine. The multi-piece hammer includes a base to be mounted to the reducing machine, a replaceable tip to be mounted to the base and to impact the material to be reduced, and a retainer to secure the replaceable tip to the base. The replaceable tip has a cavity with a single rail or groove that corresponds to a single groove or rail on the base.",2020-01-07,utility
10525481,Intelligent closed type domestic waste sorting bus,"The present invention relates to an intelligent closed type domestic waste sorting bus, including a bus body, a main collection device, a pickup device, a wind separation device, a water separation device, an arrangement device and a control system. The rotary shafts on the pickup device are all distributed with single-row pickup nails. The main collection device is provided with a sliding sleeve, and a distal end of the sliding sleeve is provided with a cutting-stripping machine. The wind separation device is provided with a blowing apparatus. The arrangement device includes a first collection mechanism, a second collection mechanism, a sediment collection mechanism, a floater arrangement mechanism and a main arrangement mechanism; the present invention can achieve primary sorting of municipal domestic waste in early days, which provides the possibility and convenience for the subsequent professional disposal, and will change the current disposal mode of municipal domestic waste.",2020-01-07,utility
10525515,Roll-bending processing method and processing device,"A method for deriving the position of a pushing roll, applied even when there is a difference between the actual processed shape and a theoretical solution (a numerical analysis solution) due to changes in a state of a processing machine or the bending characteristic of the material to be processed. The rolls have a pyramid-like shape, and the operation amount of a pushing roll is changed while continuously feeding a material, thereby bending the material. Also, for each position of the fixed pushing roll, the radius of curvature of the material is measured and the bending characteristic is grasped in advance. From the design shape, the radius of curvature and the operation amount for bringing the pushing roll into contact are obtained. The operation amount of the pushing roll is then determined.",2020-01-07,utility
10525521,Method of manufacturing rolling bearing ring and rolling bearing ring,"A method of manufacturing a rolling bearing ring includes preparing a coil material and a press machine for obtaining a rolling bearing ring from the coil material, setting the coil material on the press machine, and obtaining the rolling bearing ring by heating the coil material on the press machine to a temperature not lower than an A1 transformation point, thereafter punching a part of the coil material into a ring form, and thereafter quenching a formed object on the press machine.",2020-01-07,utility
10525527,Injection molding machine,"There is provided an injection molding machine including a backflow prevention device configured to perform a backflow prevention operation in which the communication path is closed to prevent a backflow of the molten material. The backflow prevention device includes a sealing seat that is provided in the communication path, a valve rod that is movable to come in contact with the sealing seat, and a fitting portion in which the sealing seat as an end is fitted to the valve rod. The backflow prevention operation includes at least one pumping operation in which a front of the valve rod moves from a position at which the front is not fitted to the fitting portion to a position at which the front comes in contact with the sealing seat.",2020-01-07,utility
10525536,Tool for roughening a borehole surface,"A tool for roughening a borehole surface. The tool includes a coupling portion for clamping the tool in a drilling machine; and a tool head for machining the borehole surface, where the tool head comprises a cutter that is circumferentially disposed on the tool head, and where the tool head has at least one slit, which passes through from one side to the other and which, starting from an end face of the tool head, and extends axially along a longitudinal axis of the tool.",2020-01-07,utility
10525550,"Machine tool, measurement apparatus, method for generating working data, cladding method, method for setting temperature of a workpiece","The invention relates to a machine tool (10) comprising a machine controller (19), a machine frame (11), a work table (13), a tool holder (14), preferably of a standardized design, multiple translational and/or rotational axes (12a, 12b) for adjusting the relative position of the work table (13) and the work holder (14), a tool magazine (16) for one or more material-removing, in particular machining tools (15), a tool-change mechanism for automatically transporting tools between the tool holder (14) and the tool magazine (16), a deposit-welding head (20) that can be inserted into the tool holder (14) and a storage device (25) for storing the deposit-welding head outside the tool holder (14).",2020-01-07,utility
10525561,"Control device for working device, working device, control program for working device, control method for working device, and working method","An NC unit calculates the phase difference in chatter vibration during working on the basis of detection result of sound produced by working a workpiece by an end mill, increases the number of rotations of the end mill by a predetermined number if the phase difference is smaller than a first phase difference threshold, and decreases the number of rotations of the end mill by a predetermined number if the phase difference is larger than a second phase difference threshold. Further, if the phase difference is between the first phase difference threshold and the second phase difference threshold, the NC unit finds the resonance frequency of a machine tool by multiplying a chatter frequency by a correction factor that changes according to the chatter frequency, and calculates the number of rotations of the end mill on the basis of the resonance frequency, to obtain stable working with suppressed chatter vibration.",2020-01-07,utility
10525563,Abnormality-detecting device and method for tool of machine tool,"An abnormality-detecting device for detecting abnormalities of a tool of a machine tool comprises: an acquiring unit for acquiring multiple measured values relating to the tool as measurement data (vibration information, cutting force information, sound information, main shaft load, motor current, power value); a normal model unit for learning the measurement data acquired during normal machining by one class machine learning and creating a normal model; an abnormality-diagnosing unit for acquiring measurement data during machining after creation of the normal model while diagnosing whether said measurement data is normal or abnormal on the basis of the normal model; and a re-diagnosing unit for re-diagnosing measurement data, which has been diagnosed to be abnormal by the abnormality-diagnosing unit, by a method different from the abnormality-diagnosing unit.",2020-01-07,utility
10525564,Reversing machine and substrate polishing apparatus,Disclosed is a reversing machine that reverses a substrate upside down. The reversing machine includes: a first arm pair configured to mount a substrate thereon; a second arm pair facing the first arm pair; an opening/closing mechanism configured to open/close the second arm pair so as to grip the substrate mounted on the first arm pair; and a rotating mechanism configured to rotate the first arm pair and the second arm pair around a predetermined axis that is set inside the first arm pair and the second arm pair and extends along an extension direction of the first arm pair and the second arm pair such that the substrate is reversed upside down.,2020-01-07,utility
10525591,Robotic network system with dynamic multi-objective task allocation,"A dynamic multi-objective task allocation system within robotic networks that assigns tasks in real-time as they are detected, the system including a sensing device that detects a trigger event, the trigger event being associated with a task to be performed, and transmits a broadcast signal to a designated robotic network, the robotic network including one or more robots, the broadcast signal including information associated with the task to be performed, the trigger event, the task to be performed, and a location where the task is to be performed; and a distribution robot that receives broadcast signal from the sensing device, assigns itself a self-score associated with performing the task, transmits, to one or more receiving robots within the robotic network, a request for submission of an assessment score of each one of the one or more robots, and determines which robot is assigned to perform the task.",2020-01-07,utility
10525615,Water regulated temperature controlled resin drying,Apparatus and method for drying thermoplastic resin prior to molding into plastic parts comprises a continuous loop liquid circuit for furnishing liquid at a prescribed temperature to a mold in which the plastic parts are fabricated; a continuous loop air circuit for passing heated dry air through a hopper containing the thermoplastic resin thereby drying the thermoplastic resin to a prescribed level of dryness; and a coupling thermally connecting the two circuits for heat transfer from the liquid to the drying air; the liquid is selected from the group comprising water and ethylene glycol; microprocessor control facilitates generation and retention of custom water temperature and resin dryness/temperature optionally based on machine learning principles.,2020-01-07,utility
10525618,Controller of rotary compression-molding machine,"A controller of a rotary compression-molding machine is configured to detect, with a sensor, an amount of stuck molded products or a flow rate of molded products at an inlet configured to receive a molded product or an outlet configured to discharge the molded product subjected to predetermined post-treatment, of a peripheral device disposed downstream of the molding machine and is further configured to apply the post-treatment to the molded product discharged from the molding machine, and to regulate a rotational speed of a turret and punches of the molding machine in accordance with the detected amount of the stuck molded products or the detected flow rate of the molded products.",2020-01-07,utility
10525625,Plasticizing unit including a thermal separating device and an active tempering device,"A plasticizing unit for a molding machine includes a plasticizing cylinder, and the plasticizing cylinder has a feed zone and a filling opening for material to be plasticized. The filling opening is arranged adjacent to the feeding zone, and a thermal separating device is arranged between the feed zone and the filling opening. An active tempering device for the filling opening is provided, and the active tempering device includes at least one tempering conduit and a tempering medium turbulently flowing through the tempering conduit during operation of the active tempering device.",2020-01-07,utility
10525632,"Systems, devices, and methods for precision locating and assembly of additively manufactured components","Methods, systems, and devices for precision locating additively manufactured components for assembly and/or post processing manufacturing are provided for herein. In some embodiments, at least one component can be additively manufactured to include one or more kinematic features on one or more surfaces of the component. The kinematic feature(s) can be configured to engage complementary kinematic feature(s) formed in a second component so the two components can form an assembly. Alternatively, the kinematic feature(s) can be configured to engage complementary kinematic feature(s) associated with a post-processing machine such that the one or more post-processing actions can be performed on the component after the component is precisely located with respect to the machine by way of the kinematic features of the component and associated with the machine. A variety of systems and methods that utilize kinematic features are also provided.",2020-01-07,utility
10525637,Flat composites having layup features for forming into 3D shapes,"Systems and methods are provided for designing flat composites that are formed into 3D shapes. One embodiment is a method that includes loading data defining a three dimensional (3D) shape for a composite part, identifying constraints based on dimensions of the 3D shape, simulating flattening of the 3D shape into a planar shape, and acquiring a mandrel having the planar shape. The method also includes placing features at the mandrel which permit a laminate laid-up onto the mandrel to compensate for the constraints during forming of the laminate into the 3D shape, and generating a Numerical Control (NC) program that directs an Automated Fiber Placement (AFP) machine laying up the laminate. The NC program includes instructions for laying up tows of constituent material onto the mandrel having the features, to form layers of the laminate.",2020-01-07,utility
10525638,Heater system for fiber placement machine,"Closed-loop systems and methods for controlling the temperature at the compaction point as an automated fiber placement (AFP) machine is placing material over complex surface features at varying speeds. The closed-loop system starts with multiple infrared temperature sensors directed at the layup surface in front of the compaction roller and also at the new layup surface behind the compaction roller. These sensors supply direct temperature readings to a control computer, which also receives speed data and a listing of active tows from the AFP machine and is also programmed with the number of plies in the current layup. In accordance with one embodiment, the heater control system uses a proportional-integral-derivative loop to control the temperature at the compaction point (e.g., at the interface of the compaction roller and a newly laid tow) and regulate the heater power to achieve the desired temperature.",2020-01-07,utility
10525647,"Servo press machine, motor using servo press machine, and method of assembling and detaching motor","Provided is a servo press machine having a configuration that allows miniaturization of the servo press machine, and a motor using the same. A servo press machine includes a servomotor, a crankshaft rotated by driving of the servomotor, a connecting rod connected to an eccentric portion of the crankshaft, and a slide connected to the connecting rod, wherein two connecting rods are connected to the crankshaft, the servomotor is an axial gap motor, a rotor of the axial gap motor is assembled with the crankshaft between the two connecting rods, and a stator of the axial gap motor is fixed to a crown in which the crankshaft is housed.",2020-01-07,utility
10525662,Fabricated panel,"The product is made, in part, of a network of interconnected mycelia cells forming a mass. In one embodiment, the mass includes one or more embedded elements, such as a panel. In another embodiment, the mass is formed over a three-dimensional lattice. The mycelia cells form hyphae that bond directly to panels made of cellulosic materials.",2020-01-07,utility
10525698,Printing machine including movable and positionable supporting stations,"Printing machine includes a guide; at least one printing station located along the guide; at least one supporting station for supporting a product to be printed by the printing station; at least a first and a second positioning units mounted along the guide, at least one of the positioning units being located at the printing station. The supporting station includes: a motor substantially integral with the supporting station for moving the supporting station along the guide; an acquisition device capable of acquiring an identification code from each of the positioning units when the supporting station is at each of the positioning units; a memory wherein reference codes corresponding to the identification codes and at least one reference distance corresponding to a distance between the first and second positioning units are stored; a processing unit configured to control the motor based on the acquired identification codes and on the reference codes and reference distance stored in the memory.",2020-01-07,utility
